Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
84297691,000001A0,false,Rx,1,8,00,80,00,00,80,00,E8,8B,
84298167,000000CE,false,Rx,1,8,00,00,00,00,00,00,00,00,
84299517,000000AA,false,Rx,0,8,5A,FD,01,00,20,0C,84,00,
84305560,000000A8,false,Rx,0,8,BD,0E,02,00,02,F1,0F,02,
84307493,000000A9,false,Rx,0,8,C3,1E,D9,EF,3D,D9,0F,0C,
84307626,000000B6,false,Rx,1,5,0E,0E,80,00,C8,00,00,00,
84308090,0000019E,false,Rx,1,8,00,E8,7F,FC,FF,BC,FF,C1,
84309523,000000AA,false,Rx,0,8,5B,FE,01,00,20,0C,84,00,
84315564,000000A8,false,Rx,0,8,BF,00,02,10,02,F1,0F,02,
84317488,000000A9,false,Rx,0,8,B5,10,D9,EF,3D,D9,0F,0C,
84317671,000001A6,false,Rx,1,8,DF,00,E7,00,E1,00,40,F2,
84318147,000000CE,false,Rx,1,8,00,00,00,00,00,00,00,00,
84318406,000001A0,false,Rx,1,8,00,80,00,00,80,00,08,AA,
84319513,000000AA,false,Rx,0,8,5D,00,02,00,20,0C,84,00,
84320990,00000480,false,Rx,1,8,02,42,FD,01,FF,FF,FF,FF,
84325549,000000A8,false,Rx,0,8,C0,01,02,10,02,F1,0F,02,
84327483,000000A9,false,Rx,0,8,B6,11,D9,EF,3D,D9,0F,0C,
84327616,000000B6,false,Rx,1,5,FF,00,80,00,C8,00,00,00,
84328079,0000019E,false,Rx,1,8,00,E8,7F,FC,FF,BC,FF,C1,
84329521,000000AA,false,Rx,0,8,5E,01,02,00,20,0C,84,00,
84334599,00000130,false,Rx,1,5,45,41,61,8F,42,00,00,00,
84335550,000000A8,false,Rx,0,8,B1,02,02,00,02,F1,0F,02,
84337483,000000A9,false,Rx,0,8,B7,12,D9,EF,3D,D9,0F,0C,
84337691,000001A0,false,Rx,1,8,00,80,00,00,80,00,18,BA,
84338167,000000CE,false,Rx,1,8,00,00,00,00,00,00,00,00,
84339507,000000AA,false,Rx,0,8,73,12,02,00,24,0C,84,00,
84345548,000000A8,false,Rx,0,8,B2,03,02,00,02,F1,0F,02,
84347483,000000A9,false,Rx,0,8,B8,13,D9,EF,3D,D9,0F,0C,
84347599,000000B6,false,Rx,1,5,00,01,80,00,C8,00,00,00,
84348071,0000019E,false,Rx,1,8,00,E8,7F,FC,FF,BC,FF,C1,
84348315,000005F8,false,Rx,1,8,6E,0C,00,00,FF,FF,FF,FF,
84349513,000000AA,false,Rx,0,8,74,13,02,00,24,0C,84,00,
84355534,000000A8,false,Rx,0,8,D3,14,02,10,02,F1,0F,02,
84357468,000000A9,false,Rx,0,8,B9,14,D9,EF,3D,D9,0F,0C,
84357651,000001A0,false,Rx,1,8,00,80,00,00,80,00,28,CA,
84358126,000000CE,false,Rx,1,8,00,00,00,00,00,00,00,00,
84359498,000000AA,false,Rx,0,8,5D,04,02,00,1C,0C,84,00,
84365540,000000A8,false,Rx,0,8,D4,15,02,10,02,F1,0F,02,
84367474,000000A9,false,Rx,0,8,BA,15,D9,EF,3D,D9,0F,0C,
84367606,000000B6,false,Rx,1,5,02,02,80,00,C8,00,00,00,
84367719,000001D0,false,Rx,0,8,5F,FF,6B,D2,8B,53,CD,9B,
84368063,0000019E,false,Rx,1,8,00,E8,7F,FC,FF,BC,FF,C1,
84369498,000000AA,false,Rx,0,8,5E,05,02,00,1C,0C,84,00,
84375532,000000A8,false,Rx,0,8,F5,26,02,20,02,F1,0F,02,
84377467,000000A9,false,Rx,0,8,BB,16,D9,EF,3D,D9,0F,0C,
84377542,00000194,false,Rx,1,4,FC,FC,FF,FF,00,00,00,00,
84378013,000001A0,false,Rx,1,8,00,80,00,00,80,00,38,DA,
84378286,000000CE,false,Rx,1,8,00,00,00,00,00,00,00,00,
84379483,000000AA,false,Rx,0,8,67,16,02,00,14,0C,84,00,
84385515,000000A8,false,Rx,0,8,F6,27,02,20,02,F1,0F,02,
84387479,000000A9,false,Rx,0,8,BC,17,D9,EF,3D,D9,0F,0C,
84387581,000000B6,false,Rx,1,5,03,03,80,00,C8,00,00,00,
84388045,0000019E,false,Rx,1,8,00,E8,7F,FC,FF,BC,FF,C1,
84389317,000001B4,false,Rx,1,8,00,D0,E6,F9,0F,FF,82,F8,
84389490,000000AA,false,Rx,0,8,68,17,02,00,14,0C,84,00,
84393780,000001B6,false,Rx,0,8,FF,FF,00,00,12,A8,1B,00,
84393924,00000308,false,Rx,0,3,CA,D2,F2,00,00,00,00,00,
84395530,000000A8,false,Rx,0,8,B7,08,02,00,02,F1,0F,02,
84397466,000000A9,false,Rx,0,8,9B,18,D8,DF,3D,D8,FF,0B,
84397652,000001A0,false,Rx,1,8,00,80,00,00,80,00,48,EA,
84398125,000000CE,false,Rx,1,8,00,00,00,00,00,00,00,00,
84398276,000001FB,false,Rx,1,2,F7,FF,00,00,00,00,00,00,
84399475,000000AA,false,Rx,0,8,71,18,02,00,1C,0C,84,00,
84405515,000000A8,false,Rx,0,8,B8,09,02,00,02,F1,0F,02,
84407460,000000A9,false,Rx,0,8,9C,19,D8,DF,3D,D8,FF,0B,
84407566,000000B6,false,Rx,1,5,04,04,80,00,C8,00,00,00,
84408037,0000019E,false,Rx,1,8,00,E8,7F,FC,FF,BC,FF,C1,
84409479,000000AA,false,Rx,0,8,72,19,02,00,1C,0C,84,00,
84411296,00000482,false,Rx,1,8,12,42,FE,01,FF,FF,FF,FF,
84415531,000000A8,false,Rx,0,8,99,FA,01,F0,01,F1,0F,02,
84417465,000000A9,false,Rx,0,8,9D,1A,D8,DF,3D,D8,FF,0B,
84417607,000001A6,false,Rx,1,8,DF,00,E7,00,E1,00,D0,F3,
